age,job,marital,education,default,balance,housing,loan,contact,month,y
0_42,unemployed,married,primary,no,0_11587,no,no,cellular,oct,no
0_42,services,married,secondary,no,0_11587,yes,yes,cellular,may,no
0_42,management,single,tertiary,no,0_11587,yes,no,cellular,apr,no
0_42,management,married,tertiary,no,0_11587,yes,yes,unknown,jun,no
43_64,blue-collar,married,secondary,no,0_11587,yes,no,unknown,may,no
0_42,management,single,tertiary,no,0_11587,no,no,cellular,feb,no
0_42,self-employed,married,tertiary,no,0_11587,yes,no,cellular,may,no
0_42,technician,married,secondary,no,0_11587,yes,no,cellular,may,no
0_42,entrepreneur,married,tertiary,no,0_11587,yes,no,unknown,may,no
43_64,services,married,primary,no,0_11587,yes,yes,cellular,apr,no
0_42,services,married,secondary,no,0_11587,yes,no,unknown,may,no
43_64,admin.,married,secondary,no,0_11587,yes,no,cellular,apr,no
0_42,technician,married,tertiary,no,0_11587,no,no,cellular,aug,no
0_42,student,single,secondary,no,0_11587,no,no,cellular,apr,yes
0_42,blue-collar,married,secondary,no,0_11587,yes,yes,cellular,jan,no
0_42,management,married,tertiary,no,0_11587,no,yes,cellular,aug,no
43_64,technician,married,secondary,no,0_11587,no,no,cellular,aug,no
0_42,admin.,single,tertiary,no,0_11587,yes,no,cellular,apr,no
0_42,blue-collar,single,primary,no,0_11587,yes,no,unknown,may,no
0_42,services,married,secondary,no,0_11587,no,no,cellular,jul,no
0_42,management,divorced,unknown,no,0_11587,yes,no,cellular,nov,no
43_64,management,divorced,tertiary,no,0_11587,no,no,cellular,nov,no
43_64,services,single,secondary,no,0_11587,no,no,unknown,jun,no
43_64,entrepreneur,married,secondary,no,0_11587,no,no,cellular,jul,no
0_42,housemaid,married,tertiary,no,0_11587,no,no,cellular,jan,no
0_42,management,married,tertiary,no,0_11587,no,no,cellular,nov,no
43_64,blue-collar,married,primary,no,0_11587,yes,no,unknown,may,no
65_max,retired,married,unknown,no,0_11587,no,no,telephone,aug,no
43_64,self-employed,married,secondary,no,0_11587,no,yes,cellular,jul,no
43_64,admin.,married,secondary,no,0_11587,no,yes,cellular,aug,no
65_max,retired,divorced,secondary,no,0_11587,no,no,telephone,jul,yes
0_42,technician,married,secondary,no,0_11587,no,no,cellular,aug,no
43_64,management,married,secondary,no,0_11587,no,no,cellular,nov,no
0_42,management,single,tertiary,no,0_11587,yes,no,cellular,aug,yes
43_64,technician,married,tertiary,no,0_11587,no,no,cellular,aug,yes
43_64,admin.,divorced,secondary,no,0_11587,yes,no,unknown,may,no
65_max,retired,divorced,primary,no,0_11587,no,no,telephone,oct,yes
0_42,blue-collar,married,secondary,no,0_11587,yes,no,cellular,nov,yes
0_42,management,married,secondary,no,0_11587,yes,no,cellular,may,yes
0_42,services,single,tertiary,no,0_11587,yes,no,unknown,may,no
0_42,management,single,tertiary,no,11588_26487,yes,no,unknown,nov,no
0_42,management,single,tertiary,no,0_11587,no,no,cellular,aug,no
43_64,blue-collar,married,secondary,no,0_11587,yes,no,cellular,may,no
0_42,technician,married,tertiary,no,0_11587,yes,no,cellular,may,no
0_42,technician,single,tertiary,no,0_11587,yes,no,cellular,nov,no
0_42,management,single,tertiary,no,0_11587,yes,no,unknown,may,no
43_64,blue-collar,married,primary,no,0_11587,no,no,telephone,feb,no
0_42,blue-collar,married,primary,no,0_11587,yes,no,unknown,may,no
0_42,entrepreneur,single,primary,yes,0_11587,yes,yes,cellular,feb,no
43_64,admin.,married,unknown,no,0_11587,yes,no,cellular,jan,yes
43_64,blue-collar,divorced,primary,no,0_11587,no,no,unknown,jun,yes
0_42,technician,single,secondary,no,0_11587,yes,no,cellular,aug,no
0_42,technician,single,secondary,no,0_11587,no,no,cellular,aug,no
0_42,technician,married,tertiary,no,0_11587,yes,no,cellular,jun,yes
43_64,blue-collar,married,secondary,no,0_11587,yes,no,cellular,jul,no
43_64,admin.,married,secondary,no,0_11587,yes,no,telephone,jul,no
43_64,management,married,secondary,no,0_11587,no,yes,telephone,feb,no
0_42,self-employed,single,tertiary,no,0_11587,no,no,cellular,nov,no
0_42,retired,single,secondary,no,0_11587,yes,yes,unknown,may,no
43_64,technician,divorced,secondary,no,0_11587,yes,yes,unknown,may,no
0_42,blue-collar,married,primary,no,0_11587,no,yes,telephone,jul,no
43_64,retired,married,secondary,no,0_11587,yes,no,cellular,oct,no
43_64,management,married,tertiary,no,0_11587,no,no,cellular,aug,no
43_64,services,married,secondary,no,0_11587,no,no,cellular,jul,no
43_64,admin.,married,secondary,no,11588_26487,no,no,cellular,oct,no
43_64,blue-collar,divorced,secondary,no,0_11587,yes,no,cellular,may,no
0_42,services,married,secondary,no,0_11587,yes,no,cellular,jan,no
0_42,technician,married,secondary,no,0_11587,yes,no,cellular,jul,no
0_42,management,married,secondary,no,0_11587,no,yes,cellular,jul,no
0_42,technician,single,tertiary,no,0_11587,no,no,cellular,nov,no
0_42,management,married,tertiary,no,0_11587,no,no,cellular,jul,yes
43_64,entrepreneur,divorced,tertiary,yes,0_11587,yes,no,unknown,may,no
0_42,management,single,tertiary,no,0_11587,yes,no,unknown,may,no
