age,job,marital,education,default,balance,housing,loan,y
0_35,unemployed,married,primary,no,980_max,no,no,no
0_35,services,married,secondary,no,980_max,yes,yes,no
36_46,management,single,tertiary,no,980_max,yes,no,no
0_35,management,married,tertiary,no,980_max,yes,yes,no
47_max,blue-collar,married,secondary,no,min_174,yes,no,no
36_46,management,single,tertiary,no,175_979,no,no,no
36_46,self-employed,married,tertiary,no,175_979,yes,no,no
36_46,technician,married,secondary,no,min_174,yes,no,no
36_46,entrepreneur,married,tertiary,no,175_979,yes,no,no
36_46,services,married,primary,no,min_174,yes,yes,no
36_46,services,married,secondary,no,980_max,yes,no,no
36_46,admin.,married,secondary,no,175_979,yes,no,no
36_46,technician,married,tertiary,no,980_max,no,no,no
0_35,student,single,secondary,no,175_979,no,no,yes
0_35,blue-collar,married,secondary,no,175_979,yes,yes,no
36_46,management,married,tertiary,no,175_979,no,yes,no
47_max,technician,married,secondary,no,980_max,no,no,no
36_46,admin.,single,tertiary,no,980_max,yes,no,no
0_35,blue-collar,single,primary,no,min_174,yes,no,no
0_35,services,married,secondary,no,min_174,no,no,no
36_46,management,divorced,unknown,no,min_174,yes,no,no
36_46,management,divorced,tertiary,no,min_174,no,no,no
36_46,services,single,secondary,no,min_174,no,no,no
36_46,entrepreneur,married,secondary,no,min_174,no,no,no
0_35,housemaid,married,tertiary,no,175_979,no,no,no
36_46,management,married,tertiary,no,980_max,no,no,no
47_max,blue-collar,married,primary,no,175_979,yes,no,no
47_max,retired,married,unknown,no,175_979,no,no,no
47_max,self-employed,married,secondary,no,175_979,no,yes,no
47_max,admin.,married,secondary,no,min_174,no,yes,no
47_max,retired,divorced,secondary,no,980_max,no,no,yes
0_35,technician,married,secondary,no,min_174,no,no,no
47_max,management,married,secondary,no,min_174,no,no,no
0_35,management,single,tertiary,no,980_max,yes,no,yes
47_max,technician,married,tertiary,no,980_max,no,no,yes
36_46,admin.,divorced,secondary,no,980_max,yes,no,no
47_max,retired,divorced,primary,no,175_979,no,no,yes
0_35,blue-collar,married,secondary,no,980_max,yes,no,yes
0_35,management,married,secondary,no,980_max,yes,no,yes
0_35,services,single,tertiary,no,175_979,yes,no,no
36_46,management,single,tertiary,no,980_max,yes,no,no
36_46,management,single,tertiary,no,175_979,no,no,no
47_max,blue-collar,married,secondary,no,980_max,yes,no,no
0_35,technician,married,tertiary,no,175_979,yes,no,no
